protein_ids	12500amol_r1	12500amol_r2	12500amol_r3	125amol_r1	125amol_r2	125amol_r3	25000amol_r1	25000amol_r2	25000amol_r3	2500amol_r1	2500amol_r2	2500amol_r3	250amol_r1	250amol_r2	250amol_r3	50000amol_r1	50000amol_r2	50000amol_r3	5000amol_r1	5000amol_r2	5000amol_r3	500amol_r1	500amol_r2	500amol_r3	50amol_r1	50amol_r2	50amol_r3
P16083ups|NQO2_HUMAN_UPS	66951000	73097000	116840000	0	1032000	2408000	134450000	295510000	304590000	8603200	12687000	9706200	1276200	0	560110	690090000	728350000	697190000	21109000	25390000	24525000	533220	0	0	0	733750	0
P41159ups|LEP_HUMAN_UPS	90537000	97831000	90041000	0	0	0	180770000	178090000	183360000	7420800	16672000	15361000	1099200	0	0	376680000	363020000	365200000	32250000	34396000	32411000	3039000	1639800	783100	0	0	0
P51965ups|UB2E1_HUMAN_UPS	26949000	24887000	23104000	0	0	0	48423000	45429000	40468000	2772500	3865800	5285400	0	0	0	91680000	108150000	90585000	5933200	7019200	5883800	0	0	0	0	0	0
P55957ups|BID_HUMAN_UPS	81747000	76074000	72081000	0	0	0	150200000	135210000	134810000	17308000	16710000	17619000	0	0	0	344220000	334700000	241890000	34113000	33442000	30353000	0	0	0	0	1525800	0
P61626ups|LYSC_HUMAN_UPS	61770000	57921000	75314000	0	0	0	131120000	111260000	101290000	9046400	0	9965000	0	0	0	221840000	229410000	238120000	18824000	19987000	19082000	0	0	0	0	0	0
P61769ups|B2MG_HUMAN_UPS	19618000	24684000	32526000	0	0	0	63875000	54713000	61438000	1854400	6728500	4872700	0	0	0	154470000	124220000	154350000	4045400	6871000	6586900	0	0	0	0	0	0
P62937ups|PPIA_HUMAN_UPS	40032000	31222000	30956000	0	0	0	80521000	79759000	80819000	2040200	0	5473600	0	0	0	171050000	161860000	163830000	9688000	10367000	9823700	0	0	1241200	0	0	0
P62988ups|UBIQ_HUMAN_UPS	13759000	13077000	14475000	0	0	0	23509000	25058000	21924000	2558000	2281600	2147600	0	0	0	45451000	49278000	47252000	3358600	5108900	7202400	0	0	0	0	0	0
P63165ups|SUMO1_HUMAN_UPS	29992000	46289000	43528000	1835800	0	0	228790000	70898000	48653000	1983600	924310	1660500	1788500	1613300	2224300	242390000	365400000	278530000	10484000	13404000	9919600	0	0	0	0	0	1399300
P63279ups|UBC9_HUMAN_UPS	20685000	16942000	16327000	0	0	0	62137000	31671000	53270000	4582500	0	5185600	0	0	0	96180000	159580000	102940000	7300000	8936500	7104400	0	0	0	0	0	0
P69905ups|HBA_HUMAN_UPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16703000	22260000	0	0	0	0	0	0	0	0	0
Q06830ups|PRDX1_HUMAN_UPS	68868000	72711000	69024000	2119500	2106000	1834400	172620000	186020000	180310000	16609000	5189100	5467300	1480400	1812800	2043500	386520000	379400000	392520000	6449700	25812000	23784000	2617000	1881400	1828700	2289900	1969500	1831700
Q15843ups|NEDD8_HUMAN_UPS	8879400	13935000	13299000	0	0	0	19081000	27366000	22864000	0	2220800	0	0	0	0	59000000	60212000	56246000	4181800	5575500	0	0	0	0	0	0	0
REV__sp|P36166|PXL1_YEAST;sp|P06168|ILV5_YEAST	572220000	556190000	587420000	630680000	616890000	621590000	548120000	577140000	520030000	599140000	592740000	595150000	608290000	640440000	616830000	522360000	489260000	502360000	590440000	581060000	622940000	605020000	609380000	610850000	768380000	674850000	646420000
REV__sp|Q12361|GPR1_YEAST;sp|P47044|YJF5_YEAST	4276000	4778700	4911200	8382000	5868900	4990700	4641400	4370600	4890300	6051000	4904500	4801400	5983200	4871500	5339100	5850000	4358300	4071800	4578900	4688900	4860500	4294900	4356600	6535500	4376700	6497500	5667800
sp|A5Z2X5|YP010_YEAST	16891000	17106000	16849000	24668000	20212000	16267000	18434000	18170000	18399000	25128000	29754000	19139000	18138000	20710000	18939000	14011000	12051000	15046000	17405000	15110000	19852000	17593000	16014000	15705000	14833000	14538000	17626000
sp|O13516|RS9A_YEAST	1716400	1777400	1744500	1884800	2288400	2234900	1392500	1726500	1818900	1693600	1669800	1995700	1520200	1827900	1528300	1696100	1813900	1755800	1726300	1592900	1614200	1829800	1539500	1761900	2014900	1845500	1828700
sp|O13535|YH11B_YEAST;sp|O74302|YD13A_YEAST;sp|P0C2I2|YD14B_YEAST;sp|P0C2I3|YD15B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|P0C2I5|YL12B_YEAST;sp|P0C2I6|YL13B_YEAST;sp|P0C2I8|YL14A_YEAST;sp|P0C2I9|YP12B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|P0CX57|YA11A_YEAST;sp|P0CX58|YP12A_YEAST;sp|P0CX59|YO12A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX70|YD15A_YEAST;sp|P0CX71|YE11A_YEAST;sp|P0CX72|YL12A_YEAST;sp|P0CX73|YP11A_YEAST;sp|P0CX74|YJ11A_YEAST;sp|P0CX75|YL13A_YEAST;sp|P0CX76|YM12A_YEAST;sp|P47098|YJ11B_YEAST;sp|P47099|YJ12A_YEAST;sp|P47100|YJ12B_YEAST;sp|Q03434|YM12B_YEAST;sp|Q03612|YE11B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q03855|YD11B_YEAST;sp|Q03856|YD11A_YEAST;sp|Q04670|YM14B_YEAST;sp|Q04706|YM11A_YEAST;sp|Q04711|YM11B_YEAST;sp|Q07793|YD13B_YEAST;sp|Q12085|YG11A_YEAST;sp|Q12088|YL11B_YEAST;sp|Q12112|YN11B_YEAST;sp|Q12141|YG11B_YEAST;sp|Q12193|YB12B_YEAST;sp|Q12217|YB12A_YEAST;sp|Q12269|YG12B_YEAST;sp|Q12273|YO11B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q12391|YN11A_YEAST;sp|Q12414|YP11B_YEAST;sp|Q12441|YD12A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|Q92392|YO11A_YEAST;sp|Q92393|YO12B_YEAST;sp|Q99231|YD12B_YEAST;sp|Q99337|YN12B_YEAST	187960000	204170000	201530000	169490000	177420000	186320000	190450000	207620000	218560000	194380000	197080000	193800000	180690000	182550000	180190000	201150000	207990000	204390000	199190000	203170000	201860000	178000000	183150000	182080000	158030000	161870000	164050000
sp|O13547|CCW14_YEAST	106030000	88935000	87321000	123060000	122100000	110950000	83840000	90531000	79976000	91673000	94853000	105510000	103490000	103690000	116440000	91301000	84108000	88729000	102580000	98223000	91217000	114310000	122320000	124980000	131320000	132010000	117300000
sp|O13559|YRF14_YEAST;sp|P0CX14|YRF13_YEAST;sp|P0CX15|YRF17_YEAST;sp|P0CX20|YRF11_YEAST;sp|P0CX21|YRF15_YEAST;sp|P0CX22|YRF18_YEAST;sp|P38721|YHF0_YEAST;sp|P38899|YH18_YEAST;sp|P40105|YRF12_YEAST;sp|P40434|YIR7_YEAST;sp|P40889|YJW5_YEAST;sp|P43538|YFG6_YEAST;sp|P53819|YRF16_YEAST;sp|Q03099|YMN3_YEAST;sp|Q07888|YL067_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7X8|YE077_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|Q99208|YL066_YEAST	26628000	28857000	26364000	26200000	28898000	22538000	26458000	28306000	26978000	31747000	29464000	27506000	26436000	29130000	28282000	23387000	24449000	24442000	31122000	26229000	29141000	23553000	24779000	26921000	19052000	20298000	0
sp|O13563|RPN13_YEAST	3926500	4377500	4319900	3916300	4671600	3923600	3188800	5934900	4689400	3711000	3700200	4364000	4537900	4510500	4344800	6043400	4695100	10028000	3768500	4342600	3433600	4634700	3790000	3241400	4536400	3918500	8794700
sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	126440000	118460000	131620000	153830000	164650000	164090000	123330000	144340000	138240000	145550000	142690000	136180000	165130000	154090000	162750000	143270000	154940000	138300000	139360000	141020000	136930000	154900000	162630000	147140000	136620000	135750000	152550000
sp|O14467|MBF1_YEAST	8580500	7298800	8385200	24861000	16288000	12898000	8547400	8025100	8206000	8636400	15848000	9500100	12012000	11004000	10069000	9415600	12313000	19257000	6278500	6899100	8224900	17873000	11996000	9974600	16325000	19924000	21678000
sp|O43137|YB085_YEAST	12110000	11032000	0	11437000	11915000	12073000	0	13162000	14799000	11417000	11472000	12319000	13396000	15051000	12266000	0	0	0	11513000	11407000	11151000	12717000	11497000	0	11294000	11358000	0
sp|O74700|TIM9_YEAST	7859800	7505300	7494300	7707300	7326500	6550500	8750800	7188000	9470900	8322700	7836600	7461900	6835800	7486600	7367500	6539200	8244000	6474200	7501300	7765800	7615500	7415700	7206000	7327200	6937400	8317400	7479900
sp|O94742|SEM1_YEAST	3755800	0	0	2619600	2556600	2132900	0	6081100	0	2890200	0	0	2842400	0	2607000	0	0	0	0	0	0	2949900	2347800	3304500	3032700	2800900	3126100
sp|P00044|CYC1_YEAST	49138000	40397000	45049000	43675000	49248000	30299000	39527000	44072000	43746000	37312000	41950000	49117000	41616000	41608000	48051000	43183000	39324000	40236000	47286000	44294000	48205000	45343000	50817000	54172000	88701000	59609000	62063000
sp|P00045|CYC7_YEAST	3544500	2689900	3484100	6394500	6908800	4665800	2627800	3481100	3771900	2617900	3208300	3091200	5567100	5240200	4524300	3198300	4436000	9671500	2845700	3318300	3313500	6217400	5414300	4108800	9487300	9648800	7009300
sp|P00128|QCR7_YEAST	24239000	25803000	25578000	26556000	25959000	30616000	23580000	23924000	22082000	23814000	29127000	28543000	25252000	24843000	28284000	27918000	26957000	28689000	32946000	27918000	24846000	27553000	29257000	26951000	28185000	30595000	32448000
sp|P00175|CYB2_YEAST	68988000	68216000	73231000	64866000	64130000	66390000	70302000	62887000	62906000	70796000	68501000	71288000	58913000	66899000	64381000	60324000	59689000	60767000	62482000	67337000	72888000	67448000	63939000	70668000	76499000	73271000	71850000
sp|P00330|ADH1_YEAST	2642400000	2688100000	2732000000	2540200000	2549900000	2587700000	2628200000	2504500000	2445800000	2555100000	2616100000	2667700000	2504700000	2593800000	2619000000	2577400000	2632500000	2602900000	2620700000	2695200000	2764000000	2539700000	2561100000	2608200000	2847900000	2453500000	2650800000
sp|P00331|ADH2_YEAST;sp|P38113|ADH5_YEAST	68691000	62199000	67741000	59847000	59044000	60858000	67086000	67162000	63296000	64017000	66220000	58944000	60443000	57746000	56140000	52297000	52924000	53917000	69349000	67827000	61282000	57716000	53789000	51197000	46568000	49568000	55845000
sp|P00358|G3P2_YEAST	341090000	394320000	406700000	424050000	379970000	378710000	386200000	262800000	280300000	351310000	364550000	380450000	441270000	422160000	425800000	259730000	264980000	271130000	355210000	357010000	376790000	376450000	383040000	394460000	406360000	365890000	370750000
sp|P00359|G3P3_YEAST	11067000000	11542000000	11527000000	10840000000	10778000000	11106000000	11256000000	11226000000	10630000000	10812000000	11522000000	11246000000	11039000000	11112000000	11427000000	10600000000	11173000000	11498000000	11181000000	11219000000	11434000000	11176000000	11002000000	11366000000	11591000000	11183000000	11225000000
sp|P00360|G3P1_YEAST	299730000	313360000	285500000	350120000	359450000	319850000	268610000	281710000	278100000	308190000	309640000	305460000	325490000	314240000	342860000	274890000	283020000	279280000	302210000	320090000	326480000	343880000	358750000	345130000	344820000	330620000	340870000
sp|P00401|COX1_YEAST	0	0	0	0	0	0	0	0	0	0	6574900	0	0	0	6110300	0	0	0	0	6832400	0	0	0	0	5544400	6127700	7155700
sp|P00410|COX2_YEAST	8137800	5754900	7991800	5662600	7500100	6305900	5584200	0	1781700	4567300	5675700	0	4762700	5286300	0	5794300	5814500	4610900	6177600	5976200	5694000	6000700	5291600	7450100	13800000	12892000	9479800
sp|P00424|COX5A_YEAST;sp|P00425|COX5B_YEAST	6447900	5988300	5158200	6379700	6569000	5848100	5803400	6589200	5863500	6250100	5725200	6663200	5120400	5047100	7028600	4347000	5708900	4739500	5201100	6745500	5167900	7572300	5382700	4211400	5852000	5060200	4558800
sp|P00427|COX6_YEAST	31882000	27887000	25395000	44087000	40121000	38049000	26729000	25845000	34914000	36566000	36536000	38023000	39519000	39094000	38759000	23894000	28518000	32240000	37485000	36757000	34684000	34157000	33477000	35753000	26753000	33626000	42298000
sp|P00431|CCPR_YEAST	10395000	9862900	9225300	9787700	10548000	9800600	9159300	7425900	10507000	9845500	11992000	10090000	11656000	11032000	9007200	7270100	10483000	2906400	9363600	10328000	10538000	8645800	10357000	10309000	20088000	11787000	12674000
sp|P00445|SODC_YEAST	970000000	989090000	990850000	885920000	893680000	920340000	920700000	1057300000	1028400000	969410000	948110000	974580000	929130000	962370000	956960000	1049600000	1059600000	999450000	975310000	997810000	967400000	994960000	965070000	969140000	802050000	862590000	907950000
sp|P00447|SODM_YEAST	218950000	222210000	238180000	246780000	242730000	255660000	227300000	190910000	201170000	213810000	235120000	232900000	237450000	253690000	239690000	195320000	182190000	185640000	219150000	219820000	228460000	238830000	251140000	251350000	312040000	301330000	289280000
sp|P00498|HIS1_YEAST	43416000	41058000	44430000	38029000	42321000	45244000	38299000	44260000	40673000	40948000	45693000	37813000	41679000	43572000	44835000	37703000	38134000	36529000	46564000	45380000	44269000	44749000	49885000	43394000	43943000	54553000	42359000
sp|P00546|CDK1_YEAST	11506000	21510000	20804000	10460000	0	14165000	8673500	9008100	0	9585700	12684000	13250000	14501000	16619000	14702000	13483000	12536000	12895000	15095000	11106000	8079400	14975000	21775000	14838000	4124500	5065400	11210000
sp|P00549|KPYK1_YEAST	9088800000	9224500000	9250400000	9098300000	9241800000	9084300000	8613200000	8650600000	8440400000	9003500000	9048700000	9047700000	8643600000	9016500000	9309700000	8794000000	9114200000	9189800000	9053000000	9127400000	9214700000	8913000000	9077100000	9195900000	10920000000	9657600000	9297200000
sp|P00560|PGK_YEAST	5674400000	5581900000	5686800000	5660800000	5543800000	5573400000	5485000000	5410800000	5484600000	5902900000	5781300000	5835600000	5640500000	5741000000	5667500000	5453100000	5558100000	5502000000	5682200000	5639500000	5843300000	5600800000	5683500000	5729200000	5962700000	5520900000	5742700000
sp|P00635|PPA5_YEAST;sp|P24031|PPA3_YEAST;sp|P35842|PPAB_YEAST;sp|P38693|PPAC_YEAST	8187700	7316100	7162900	8830600	9377400	8685300	8849400	7318500	7657500	7086200	8796500	9300700	7980300	7584600	7583500	6526700	8458500	8322300	9600400	9994000	7926500	9516200	8696100	8458700	9909100	8613900	7551800
sp|P00724|INV2_YEAST	13576000	10475000	22916000	16563000	16517000	12395000	10996000	23022000	10306000	16037000	15034000	15775000	24898000	16183000	11245000	14746000	11596000	9397300	16132000	10432000	21939000	12174000	16270000	13061000	19114000	12808000	21087000
sp|P00729|CBPY_YEAST	31900000	33293000	34453000	33738000	34846000	30338000	29333000	33103000	32597000	31658000	30632000	30990000	27754000	27585000	30375000	35810000	34019000	33941000	33895000	28960000	29188000	21328000	22956000	24673000	36019000	33472000	34906000
sp|P00812|ARGI_YEAST	65860000	67361000	69840000	71539000	70208000	71104000	64494000	64442000	60538000	72887000	67791000	68680000	78021000	69611000	69985000	56217000	56849000	57198000	71492000	70054000	68040000	71151000	71841000	70973000	59213000	62266000	67107000
sp|P00815|HIS2_YEAST	73593000	73259000	71878000	68586000	72784000	74251000	68921000	69475000	67350000	81533000	75428000	77940000	72526000	72290000	71417000	59305000	61325000	55502000	78453000	83868000	73554000	77511000	73986000	71299000	51887000	62304000	63719000
sp|P00817|IPYR_YEAST	529930000	539780000	514680000	567650000	590410000	560410000	493490000	480600000	478750000	561000000	533480000	548350000	536580000	549930000	549300000	475240000	466480000	461290000	541510000	534970000	565880000	533030000	561120000	525870000	553690000	526590000	559900000
sp|P00830|ATPB_YEAST	592180000	587890000	601260000	594140000	600910000	621280000	564530000	593610000	567960000	625670000	633610000	625350000	599960000	614250000	621930000	539310000	551540000	528240000	621560000	619610000	610970000	625360000	588660000	635700000	570180000	552860000	578590000
sp|P00890|CISY1_YEAST	722370000	731810000	747110000	713040000	704180000	710850000	711870000	708850000	700800000	753270000	768560000	729240000	701840000	694150000	719460000	658940000	634420000	622900000	758910000	755340000	760770000	720750000	708890000	714320000	664520000	688600000	721490000
sp|P00899|TRPE_YEAST	37019000	39574000	40440000	34093000	37614000	40744000	35589000	42713000	38249000	44023000	44579000	40983000	38119000	39087000	36444000	38162000	40673000	35350000	41428000	38502000	41158000	39080000	40538000	40294000	29824000	28133000	34232000
sp|P00924|ENO1_YEAST	815800000	833880000	881060000	914970000	912580000	868170000	845210000	757170000	785530000	784520000	786400000	803250000	827820000	862920000	896430000	864310000	906770000	924230000	774390000	817970000	841150000	899230000	894730000	926260000	1354100000	1254400000	1117900000
sp|P00925|ENO2_YEAST	9420700000	9561400000	9488100000	9188800000	9319300000	9225900000	9321100000	8948100000	8834400000	9344200000	9458900000	9610200000	9094000000	9440600000	9494400000	8755000000	9205800000	8895600000	9294200000	9500400000	9687700000	8984700000	9272700000	9471100000	10641000000	9645800000	9654700000
sp|P00927|THDH_YEAST	24546000	25115000	0	21507000	20885000	23541000	23473000	26932000	24264000	25798000	24149000	23777000	23586000	23834000	0	23573000	21847000	22354000	24308000	24715000	24510000	22173000	22960000	9691400	21051000	25091000	34459000
sp|P00931|TRP_YEAST	239460000	245890000	231550000	258420000	246470000	266930000	247490000	219120000	218530000	274400000	255120000	248640000	256990000	259570000	253550000	200220000	207960000	211790000	262420000	245520000	265680000	245880000	277480000	244620000	247070000	216690000	244980000
sp|P00937|TRPG_YEAST	8625900	8103300	8675700	7541200	7339800	8183300	8732700	8029200	8597600	8775600	9128900	8405600	8190400	7639400	7537400	8658800	8466300	6305100	8350500	8875800	9195700	7536200	8891300	7183500	9151800	7993200	7380600
sp|P00942|TPIS_YEAST	2317600000	2342000000	2351100000	2030300000	2005700000	1951800000	2186900000	2129300000	2115400000	2230300000	2271900000	2413200000	1938500000	2036300000	2074300000	2078700000	2170400000	2220900000	2218300000	2392200000	2326300000	2056100000	2073600000	2086300000	2801100000	2429400000	2221700000
sp|P00950|PMG1_YEAST	3714700000	3901800000	3836300000	3953700000	4042900000	4085800000	3778300000	3922200000	3706200000	3932900000	3943100000	3759500000	4018500000	4003700000	3974900000	3396800000	3307200000	3335500000	3955700000	3923900000	3959200000	3979100000	3847600000	3916900000	4100900000	4031300000	4086900000
sp|P00958|SYMC_YEAST	42570000	48508000	39404000	46302000	43365000	44472000	37976000	45147000	43122000	43502000	45428000	43002000	41094000	41879000	42549000	42500000	42808000	39371000	44505000	45480000	46843000	44367000	47838000	48957000	33108000	36210000	41142000
sp|P01094|IPA3_YEAST	0	1263600	1192400	2170800	2054700	1410000	1206600	1380800	1342900	1256800	1078500	1113600	1432500	1495300	0	1478600	1620500	1795700	1550600	0	0	1539000	1701000	1502800	4201900	4752900	1954400
sp|P01097|ATIF_YEAST	1843000	1757900	1260700	3565300	3944300	2644800	0	1826000	0	1663100	1814600	1885300	2175200	4617900	2477900	0	0	0	0	2120700	0	2784900	3671900	3951400	3754300	4454000	3953400
